epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,2356.13,0.51222,0.45267,1.18655,0.99656,0.99109,0.99123,0.94374,0.30516,0.22905,1.02474,0.000811,0.000811,0.000811
44,2409.75,0.49704,0.45447,1.16828,0.99154,0.97826,0.9901,0.93755,0.31695,0.24731,1.02448,0.0008065,0.0008065,0.0008065
45,2463.23,0.50674,0.43177,1.17233,0.99337,0.9898,0.99053,0.93665,0.31855,0.24586,1.03016,0.000802,0.000802,0.000802
46,2516.6,0.50256,0.4324,1.1747,0.99631,0.99158,0.99033,0.94129,0.31267,0.22154,1.03054,0.0007975,0.0007975,0.0007975
47,2570.15,0.50256,0.43977,1.17505,0.99419,0.99203,0.99204,0.94303,0.3071,0.22541,1.02255,0.000793,0.000793,0.000793
48,2623.79,0.49513,0.428,1.17073,0.99767,0.99177,0.99204,0.94741,0.30455,0.22077,1.01824,0.0007885,0.0007885,0.0007885
49,2677.85,0.48408,0.42145,1.16617,0.99544,0.99018,0.99134,0.94241,0.3168,0.23724,1.02361,0.000784,0.000784,0.000784
50,2731.63,0.49467,0.42404,1.1684,0.9958,0.99193,0.99203,0.94965,0.29908,0.21957,1.01466,0.0007795,0.0007795,0.0007795
51,2785.79,0.49192,0.41315,1.17162,0.99382,0.99132,0.99166,0.94462,0.30213,0.22034,1.01466,0.000775,0.000775,0.000775
52,2839.55,0.4917,0.42529,1.16528,0.99464,0.9901,0.9925,0.94572,0.2953,0.2221,1.00561,0.0007705,0.0007705,0.0007705
53,2893.2,0.49359,0.41529,1.16821,0.99625,0.99113,0.99155,0.94997,0.29648,0.2261,1.00288,0.000766,0.000766,0.000766
54,2946.91,0.48647,0.41592,1.16741,0.99645,0.99163,0.99181,0.94779,0.29714,0.21328,1.01136,0.0007615,0.0007615,0.0007615
55,3000.47,0.49003,0.4165,1.16617,0.99413,0.98856,0.992,0.9474,0.29314,0.20825,1.00437,0.000757,0.000757,0.000757
56,3054.47,0.48506,0.41799,1.16646,0.99626,0.99016,0.99135,0.94761,0.29076,0.21259,1.00239,0.0007525,0.0007525,0.0007525
57,3108.07,0.4829,0.41201,1.16089,0.99711,0.99217,0.9922,0.94915,0.30407,0.21096,1.01611,0.000748,0.000748,0.000748
58,3161.53,0.47782,0.405,1.1578,0.9961,0.98944,0.99163,0.94451,0.29503,0.21387,1.002,0.0007435,0.0007435,0.0007435
59,3215.04,0.47687,0.40285,1.15781,0.99601,0.99053,0.99106,0.95011,0.279,0.21017,0.9868,0.000739,0.000739,0.000739
60,3268.52,0.47937,0.41454,1.15908,0.99747,0.99176,0.99207,0.94992,0.28447,0.2133,0.9934,0.0007345,0.0007345,0.0007345
61,3321.73,0.477,0.40971,1.16005,0.99491,0.99225,0.99162,0.9499,0.28737,0.2121,0.99394,0.00073,0.00073,0.00073
62,3374.97,0.47716,0.39727,1.165,0.99509,0.99063,0.99057,0.94982,0.28179,0.21172,0.99462,0.0007255,0.0007255,0.0007255
63,3428.18,0.48262,0.39691,1.15772,0.9953,0.99087,0.99178,0.95072,0.28076,0.20533,0.99068,0.000721,0.000721,0.000721
64,3481.44,0.47865,0.39271,1.15827,0.99661,0.99136,0.99212,0.95144,0.27675,0.19926,0.99336,0.0007165,0.0007165,0.0007165
65,3534.69,0.46604,0.39326,1.14668,0.99683,0.99106,0.99146,0.9501,0.2912,0.2121,1.00129,0.000712,0.000712,0.000712
66,3588.07,0.46665,0.38712,1.14608,0.99571,0.99163,0.99184,0.94639,0.28893,0.21645,1.00353,0.0007075,0.0007075,0.0007075
67,3641.54,0.47538,0.39114,1.15306,0.99611,0.99163,0.9914,0.9486,0.28095,0.20862,0.98707,0.000703,0.000703,0.000703
68,3694.77,0.46398,0.39124,1.14562,0.99755,0.9922,0.99158,0.9508,0.27849,0.19666,0.99423,0.0006985,0.0006985,0.0006985
69,3748.3,0.46277,0.39599,1.14657,0.99585,0.99081,0.99188,0.94906,0.28666,0.20468,0.99657,0.000694,0.000694,0.000694
70,3801.67,0.46681,0.38438,1.14505,0.99635,0.99225,0.99259,0.95156,0.27988,0.19908,0.99343,0.0006895,0.0006895,0.0006895
71,3855.04,0.46917,0.39456,1.14943,0.9973,0.99174,0.99088,0.95148,0.26928,0.19869,0.97386,0.000685,0.000685,0.000685
72,3908.59,0.4557,0.38298,1.13561,0.99679,0.99225,0.99103,0.95258,0.26432,0.1943,0.98327,0.0006805,0.0006805,0.0006805
73,3962.18,0.46436,0.37957,1.14853,0.99812,0.99225,0.99146,0.95356,0.26822,0.19378,0.97518,0.000676,0.000676,0.000676
74,4015.87,0.46721,0.37932,1.14908,0.99662,0.99221,0.99254,0.95188,0.27756,0.19669,0.98797,0.0006715,0.0006715,0.0006715
75,4069.42,0.46008,0.3758,1.1451,0.99653,0.99163,0.9915,0.9526,0.2697,0.19383,0.97572,0.000667,0.000667,0.000667
76,4122.8,0.45553,0.37883,1.142,0.99822,0.99155,0.99185,0.95368,0.27056,0.19104,0.97261,0.0006625,0.0006625,0.0006625
77,4176.36,0.46355,0.38376,1.1465,0.99718,0.99225,0.9925,0.95298,0.27111,0.19728,0.97787,0.000658,0.000658,0.000658
78,4229.76,0.46492,0.37572,1.146,0.9948,0.99072,0.99166,0.94967,0.27448,0.19727,0.97685,0.0006535,0.0006535,0.0006535
79,4283.13,0.45171,0.3707,1.13917,0.99622,0.98992,0.99052,0.94973,0.26594,0.19687,0.97573,0.000649,0.000649,0.000649
80,4336.82,0.44552,0.36987,1.13435,0.99749,0.99144,0.99245,0.95128,0.27588,0.19224,0.99225,0.0006445,0.0006445,0.0006445
81,4390.29,0.45116,0.36668,1.13751,0.99537,0.99071,0.99235,0.95212,0.26809,0.20047,0.97189,0.00064,0.00064,0.00064
82,4443.61,0.45423,0.3691,1.13862,0.9974,0.99195,0.99164,0.95017,0.25739,0.19028,0.96876,0.0006355,0.0006355,0.0006355
83,4497.2,0.45273,0.37453,1.13939,0.99451,0.99125,0.99189,0.95273,0.2686,0.19409,0.97952,0.000631,0.000631,0.000631
84,4550.66,0.44766,0.36981,1.1367,0.99589,0.98998,0.99095,0.95409,0.25591,0.18787,0.96487,0.0006265,0.0006265,0.0006265
85,4603.92,0.44497,0.35521,1.1324,0.99596,0.99191,0.99102,0.95493,0.25039,0.18907,0.95767,0.000622,0.000622,0.000622
86,4657.21,0.44819,0.35888,1.13623,0.9976,0.99075,0.99253,0.95482,0.25361,0.18402,0.96452,0.0006175,0.0006175,0.0006175
87,4710.64,0.44339,0.36346,1.1333,0.99593,0.99214,0.99219,0.95511,0.25834,0.18621,0.96086,0.000613,0.000613,0.000613
88,4763.81,0.44397,0.36311,1.13679,0.99823,0.99222,0.99265,0.95586,0.25845,0.1802,0.966,0.0006085,0.0006085,0.0006085
89,4817.06,0.44602,0.3613,1.13764,0.99833,0.99103,0.99152,0.95881,0.25671,0.18811,0.96209,0.000604,0.000604,0.000604
90,4870.87,0.4375,0.35003,1.13091,0.99825,0.99099,0.99254,0.95478,0.25949,0.17961,0.96617,0.0005995,0.0005995,0.0005995
91,4924.57,0.44904,0.35769,1.13783,0.99701,0.99189,0.99245,0.95396,0.25613,0.18056,0.96376,0.000595,0.000595,0.000595
92,4978.26,0.44182,0.34983,1.12887,0.99587,0.99131,0.99131,0.95469,0.24964,0.1752,0.9628,0.0005905,0.0005905,0.0005905
93,5031.87,0.44159,0.36067,1.13054,0.99743,0.99112,0.99111,0.9553,0.24921,0.17439,0.95651,0.000586,0.000586,0.000586
94,5085.48,0.43572,0.35465,1.12716,0.99501,0.99187,0.99191,0.95615,0.25026,0.18109,0.96132,0.0005815,0.0005815,0.0005815
95,5139.23,0.43533,0.35047,1.12577,0.99653,0.99144,0.99154,0.95617,0.25697,0.18253,0.96246,0.000577,0.000577,0.000577
96,5193.21,0.43645,0.35105,1.12684,0.99736,0.99149,0.99117,0.95636,0.25998,0.18391,0.96512,0.0005725,0.0005725,0.0005725
97,5247.28,0.43552,0.34967,1.1315,0.99783,0.99102,0.99262,0.95648,0.24815,0.17382,0.9549,0.000568,0.000568,0.000568
98,5301.27,0.43053,0.3503,1.12385,0.99811,0.99147,0.99087,0.95478,0.25636,0.18338,0.95822,0.0005635,0.0005635,0.0005635
99,5355.05,0.42605,0.33251,1.12125,0.99816,0.99231,0.99225,0.95595,0.25506,0.18247,0.96303,0.000559,0.000559,0.000559
100,5408.82,0.43209,0.34891,1.1247,0.99798,0.99144,0.99132,0.95667,0.25262,0.18333,0.95719,0.0005545,0.0005545,0.0005545
101,5462.78,0.4388,0.35396,1.12736,0.9958,0.99213,0.99168,0.95605,0.2513,0.18214,0.95564,0.00055,0.00055,0.00055
102,5516.49,0.43295,0.35531,1.12611,0.99688,0.99134,0.9929,0.9561,0.25681,0.17931,0.9599,0.0005455,0.0005455,0.0005455
103,5570.22,0.42689,0.34314,1.12935,0.99796,0.99123,0.99262,0.95692,0.25808,0.18075,0.96299,0.000541,0.000541,0.000541
104,5623.89,0.43273,0.34712,1.12305,0.99668,0.99199,0.99261,0.95727,0.25441,0.17255,0.95537,0.0005365,0.0005365,0.0005365
105,5677.7,0.4346,0.3504,1.12372,0.997,0.99195,0.9919,0.95593,0.2595,0.17834,0.9608,0.000532,0.000532,0.000532
106,5731.65,0.43008,0.33622,1.12201,0.99718,0.99225,0.99188,0.95846,0.25804,0.17744,0.95777,0.0005275,0.0005275,0.0005275
107,5785.31,0.42808,0.34499,1.12263,0.99763,0.99137,0.9917,0.95532,0.26164,0.17583,0.96436,0.000523,0.000523,0.000523
108,5838.9,0.42533,0.33896,1.12099,0.99519,0.99124,0.99124,0.95748,0.25217,0.17862,0.95253,0.0005185,0.0005185,0.0005185
109,5892.55,0.41963,0.33521,1.11557,0.99694,0.99144,0.99138,0.95793,0.25122,0.17315,0.95305,0.000514,0.000514,0.000514
110,5945.77,0.42518,0.33285,1.12012,0.99531,0.99137,0.99119,0.9581,0.24693,0.17888,0.94779,0.0005095,0.0005095,0.0005095
111,5999,0.41837,0.32341,1.12027,0.99706,0.99141,0.99182,0.95781,0.2504,0.17072,0.95423,0.000505,0.000505,0.000505
112,6052.1,0.41677,0.33353,1.11455,0.99744,0.99125,0.99174,0.95855,0.24801,0.16983,0.94833,0.0005005,0.0005005,0.0005005
113,6105.84,0.43204,0.34355,1.12753,0.99731,0.99026,0.9913,0.95706,0.24767,0.17126,0.94864,0.000496,0.000496,0.000496
114,6159.52,0.41952,0.33368,1.1214,0.9977,0.9899,0.99108,0.95764,0.24856,0.17413,0.95152,0.0004915,0.0004915,0.0004915
115,6213.15,0.41816,0.32849,1.11632,0.9977,0.99124,0.99244,0.95755,0.25425,0.17643,0.95696,0.000487,0.000487,0.000487
116,6266.85,0.41911,0.33121,1.11228,0.99551,0.99153,0.99278,0.95901,0.25223,0.17486,0.95613,0.0004825,0.0004825,0.0004825
117,6320.48,0.41004,0.32497,1.11189,0.99733,0.99064,0.992,0.96037,0.25085,0.17055,0.95448,0.000478,0.000478,0.000478
